說明：來源於http://www.ihp.sinica.edu.tw/~twsung/subject/06/hd.dbf，係臺灣爲《中國歷史地名辭典》編寫的索引。原文件編碼爲big5，缺字部分用pua字代替，需要後期手動還原。
《中國歷史地名辭典》爲中國大陸復旦大學史地所編寫的書，原書使用的是大陸簡化字。臺灣在編寫索引時只是單一地進行了錄入，竝沒有爲簡繁不對稱的字作訂正。所以百餘簡繁不對稱的字仍需要一一校正。比如「后」、「丰」等。因此本文件錯訛很多，不宜直接使用。

PLACE	PAGES
一公城	1
一全塢	1
一合塢	1
一禿河	1
一泉塢	1
一迷河	1
一碗泉	1
一鯤身	1
一片石關	1
乙連城	1
乙離骨嶺	1
二江	1
二關	1
二京	1
二陝	1
二郢	1
二崤	1
二榆	1
二襄	1
二里岡	1
二里頭	1
二林城	1
二祖鎮	1
二塘鋪	1
二十四陂	1
二十四橋	1
十道	1
十寨	1
十藪	2
十一都	2
十二州	2
十二街	2
十八省	2
十八路	2
十八灘	2
十九州	2
十九路	2
十三山	2
十三州	2
十三省	2
十三都	2
十萬山	2
十五省	3
十五道	3
十五路	3
十里陌	3
十里壘	3
十嶺山	3
十部縣	3
十蓉營	3
十二連城	3
十二里庄	3
十二營寨	3
十八盤嶺	3
十三萬戶	3
十三里橋	3
十五里岡	3
十八先生墓	3
十三刺史部	3
十一行中書省	4
十二關長官司	4
十二營長官司	4
十三布政使司	4
十八寨千戶所	4
丁村	4
丁汲鎮	4
丁角鎮	4
丁家洲	4
丁溪山	4
丁溪城	4
七磯	4
七閩	4
七女津	4
七門郡	4
七門堰	4
七介山	4
七台山	4
七鞏墟	4
七級口	4
七里井	4
七里谷	4
七里店	4
七里亭	4
七里澗	5
七里寨	5
七里鋪	5
七里瀨	5
七賢鄉	5
七金山	5
七寶山	5
七寶鎮	6
七星岡	6
七星關	6
七星鎮	6
七洲洋	6
七格星	6
七盤山	6
七盤關	6
七盤縣	6
七源州	6
七溪部	5
七洲洋山	5
七十城門甸	5
七星關后千戶所	5
卜奎	5
卜魁	5
卜哈兒	5
卜容營	5
卜顏衛	6
卜剌河衛	6
卜魯兀衛	6
卜忽禿河衛	6
卜魯丹河衛	6
八川	6
八水	6
八關	6
八陘	6
八	6
八閩	6
八普	6
八寨	6
八藪	6
八弓鋪	6
八王陵	6
八開鋪	6
八公山	6
八方泊	6
八尺寨	6
八斥站	6
八達城	7
八關城	7
八米俺	7
八里庄	7
八里坌	7
八里茫	7
八赤鎮	7
八角台	7
八角城	7
八角鎮	7
八樓	7
八姑蕩	7
八房場	7
八峰山	7
八特阪	7
八部山	7
八澗鎮	7
八渡墟	7
八疊嶺	7
八疊灘	7
八寨廳	7
八魯彎	7
八激堤	7
八十里山	7
八里水鋪	7
八剌沙袞	7
八答黑商	7
八百宣慰司	7
八角千戶所	7
八寨長官司	7
八百大甸宣慰司	8
八舟長官蠻夷司	8
八舟軍民長官司	8
八番順元宣慰司	8
人門	8
人頭山	8
人和寨	8
人復縣	8
兒國	8
幾邑	8
九山	8
九川	8
九龍	8
九邊	8
九有	8
九曲	8
九江	8
九州	8
九觀	8
九圍	9
九河	9
九星	9
九囿	9
九原	9
九峰	9
九域	9
九野	9
九藪	9
九山洋	9
九山城	9
九門縣	9
九門邑	9
九女關	9
九女原	9
九井山	9
九井鎮	9
九支縣	9
九日山	9
九龍山	9
九龍鄉	9
九龍水	9
九龍縣	9
九龍泉	9
九龍渠	9
九龍鎮	9
九仙山	9
九老堂	9
九成宮	10
九曲山	10
九曲軍	10
九曲城	10
九曲亭	10
九曲瀆	10
九曲寨	10
九華山	10
九華宮	10
九羊寨	10
九州石	10
九江村	10
九江府	10
九江國	10
九江郡	10
九陽堡	10
九連山	10
九連城	10
九折	10
九折岩	10
九里山	10
九里關	10
九里村	10
九里邑	10
九里松	10
九里城	10
九隴縣	11
九隴郡	11
九杵關	11
九侯山	11
九星洋	11
九宮山	11
九宮嶺	11
九洲鎮	11
九真縣	11
九真郡	11
九原山	11
九原邑	11
九原縣	11
九原郡	11
九原站	11
九卿陂	11
九皋山	11
九渡水	11
九道梁	11
九溪衛	11
九嵕山	11
九疑山	11
九德縣	11
九德郡	11
九十九岡	11
九十九泉	11
九曲青溪	11
九疑魯觀	12
九姓長官司	12
九壟銀銅場	12
九姓羅氏黨蠻夷長官千戶所	12
乃顏城	12
刀靶水鋪	12
力干縣	12
三山	12
三川	12
三叉	12
三衛	12
三水	12
三巴	12
三市	12
三台	12
三邊	12
三亞	12
三齊	12
三關	13
三危	13
三江	13
三里	13
三吳	13
三沙	14
三阿	14
三陘	14
三陂	14
三迤	14
三河	14
三姓	14
三城	14
三荊	14
三峽	14
三泉	14
三洲	14
三秦	14
三都	14
三晉	14
三橋	15
三亳	15
三輔	15
三崤	15
三賧	15
三湘	15
三楚	15
三蜀	15
三闕	15
三溪	15
三澎	15
三魏	15
三萬衛	15
三丈浦	15
三山浦	16
三山街	16
三口浪	16
三川口	16
三川縣	16
三川郡	16
三川寨	16
三門山	16
三門縣	16
三叉站	16
三鄉縣	16
三鄉城	16
三鄉鎮	16
三女寨	16
三王城	16
三王陵	16
三元里	16
三屯營	16
三岡縣	16
三分山	16
三戶山	16
三戶城	16
三戶津	16
三水縣	16
三水鎮	17
三龍縣	17
三歸縣	17
三台縣	17
三母山	17
三亞港	17
三嶼寨	17
三休亭	17
三華鎮	17
三合站	17
三會城	17
三危山	17
三交口	17
三交驛	17
三交城	17
三州鎮	17
三關鎮	17
三江口	17
三江縣	17
三江城	17
三江寨	17
三江鎮	17
三汲村	17
三汊城	17
三陽寨	17
三防塘	18
三村寨	18
三里圩	18
三里營	18
三縣鎮	18
三岔坪	18
三岔驛	18
三岔堡	18
三岔寨	18
三角村	18
三角	18
三灶山	18
三沙堡	18
三層嶺	18
三陂站	18
三林庄	18
三茅山	18
三賢祠	18
三固山	18
三旺州	18
三垂山	18
三垂岡	18
三阜城	18
三河戍	18
三河尖	18
三河縣	18
三河站	18
三河鎮	18
三學山	18
三泊縣	19
三官堡	19
三彌山	19
三封縣	19
三封嶺	19
三要鎮	19
三墊鎮	19
三鴉路	19
三峽橋	19
三界站	19
三界堡	19
三界鎮	19
三泉縣	19
三亭縣	19
三亭邑	19
三洲驛	19
三絳縣	19
三都廳	19
三都谷	19
三都汛	19
三原縣	19
三峰山	19
三堆城	19
三盤山	19
三章城	20
三渚城	20
三梁邑	20
三路	20
三鎮	20
三惠寺	20
三韓縣	20
三萼山	20
三堡鎮	20
三渡關	20
三游洞	20
三縫縣	20
