全唐詩分卷目錄

巴斯光年 整理


卷001  太宗皇帝
卷002  高宗皇帝 中宗皇帝 睿宗皇帝
卷003  明皇皇帝
卷004  肅宗皇帝 德宗皇帝 文宗皇帝 宣宗皇帝 昭宗皇帝
卷005  文德皇后 則天皇后 徐賢妃 上官昭容 楊貴妃 江妃
卷006  章懷太子 韓王元嘉 越王貞 信安王禕
卷007  宜芬公主 宋若華 宋若昭 宋若憲 鮑君徽 蕭妃
卷008  南唐先主昪 嗣主璟 後主煜 韓王從善 吉王從謙 蜀主王建 後主衍 吳越王錢鏐 後王錢俶 後蜀嗣主孟昶 閩王王繼鵬
卷009  蜀太后徐氏 太妃徐氏
卷010-016  郊廟歌辭
卷017-029  樂府
卷030  王珪 陳叔達 袁朗 竇威 長孫無忌 顏師古 杜濬
卷031  魏徵
卷032  褚亮
卷033  于志寧 令狐德棻 封行高 杜正倫 岑文本 劉洎 褚遂良 楊續 劉孝孫 陸敬 沈叔安何仲宣 趙中虛 楊濬
卷034  楊師道
卷035  許敬宗 李義府
卷036  虞世南
卷037  王績
卷038  蕭德言 鄭世翼 崔信明 孔紹安 謝偃 蔡允恭 杜之松 崔善為 朱仲晦 王宏 朱子奢張文收 毛明素
卷039  陳子良 庾抱 馬周 來濟 張文恭 薛元超 蕭翼 歐陽詢 閻立本 張文琮
卷040  上官儀
卷041-042  盧照鄰
卷043  李百藥
卷044  劉禕之 李敬玄 張大安 元萬頃 郭正一 胡元範 任希古 裴守真 楊思玄 王德真 鄭義真 蕭楚材 薛克構 徐珩 賀遂亮 韓思彥 魏求己 劉懷一
卷045  杜易簡 陳元光 許天正 許圉師 趙謙光 鄭惟忠 張鷟 李福業 薛眘惑 賀敱
卷046  狄仁傑 魏元忠 韋承慶 李懷遠 崔日用 宗楚客 蘇瓌
卷047-049  張九齡
卷050  楊炯
卷051-053  宋之問
卷054  崔湜 崔液 崔滌
卷055-056  王勃 附王勔
卷057-061  李嶠
卷062  杜審言
卷063  董思恭 劉允濟 邵大震 辛常伯
卷064  姚崇 宋璟
卷065  蘇味道
卷066  郭震
卷067  田游巖 王無競 賈曾 李夔 崔玄童 何鸞 蔣挺
卷068  崔融
卷069  閻朝隱 韋元旦 邵升 唐遠悊
卷070  李適
卷071  劉憲
卷072  高正臣 崔知賢 席元明 韓仲宣 周彥昭 高球 弓嗣初 高瑾 王茂時 徐皓 長孫正隱高紹 郎餘令 陳嘉言 周彥暉 高嶠 劉友賢 周思鈞
卷073-074  蘇頲
卷075  姜晞 姜皎 蔡孚 徐晶 張敬忠 史俊
卷076  徐彥伯
卷077-079  駱賓王
卷080  武三思 張易之 張昌宗 薛曜 楊敬述 于季子
卷081  喬知之 喬侃 喬備
卷082  劉希夷
卷083-084  陳子昂
卷085-089  張說
卷090  張均 張垍
卷091  韋嗣立 魏奉古 崔日知 崔泰之 魏知古
卷092  李乂
卷093  盧藏用 岑羲 薛稷 馬懷素
卷094  富嘉謨 吳少微 員半千 王適 閭丘均 齊澣 祝欽明 劉知幾 胡雄 張齊賢 鄭善玉 丘悅
卷095-097  沈佺期
卷098  趙冬曦 尹懋 王琚 陰行先 王熊 梁知微 李伯魚 楊重玄 朱使欣
卷099  張循之 王晙 張柬之 袁恕已 劉幽求 章玄同 王易從 盧僎 牛鳳及
卷100  司馬逸客 王紹宗 鄭遂初 李崇嗣 東方虬 張楚金 房融 呂太一 張紘 鄭蜀賓
卷101  宋務光 李景伯 李行言 郭利貞 元希聲 李澄之 李如璧 洪子輿 寇泚 吳兢
卷102  武平一
卷103  趙彥昭
卷104  蕭至忠 李迥秀 楊廉 韋安石 竇希玠 陸景初 鄭南金 李咸 趙彥伯 于經野 盧懷慎
卷105  辛替否 王景 畢乾泰 麴瞻 樊忱 孫佺 李從遠 周利用 張景源 李恒 張錫 解琬
卷106  鄭愔
卷107  源乾曜 徐堅 源光裕
卷108  李元紘 裴漼 劉升 蕭嵩 韋抗 李暠 韋述 陸堅 程行諶 褚琇 裴光庭 宇文融 崔沔 崔尚 胡皓
卷109  李適之 房琯 李泌 郭子儀
卷110  張諤 劉庭琦 鄭繇
卷111  韓休 許景先 王丘 蘇晉 崔禹錫 張嘉貞 盧從愿 袁暉 王光庭 徐知仁 席豫 韓思復 劉晃
卷112  賀知章
卷113  裴耀卿 宋鼎 崔頌 孫翃 徐仁友 蘇綰 康庭芝 張宣明 盧崇道
卷114  包融 張翬 丁仙芝 蔡隱丘 蔡希周 蔡希寂 張潮 周瑀 談戭 殷遙 沈如筠 孫處玄 徐延壽 樊晃
卷115  李憕 李邕 王灣 史青 王泠然
卷116  張子容
卷117  張旭 賀朝 萬齊融 邢巨 張若虛 薛業
卷118  孫逖
卷119  崔國輔
卷120  崔珪 楊浚 劉晏 袁瓘 李昂 厙狄履溫 寇坦 李休烈
卷121  李林甫 楊炎 元載 陳希烈 張漸 宋昱
卷122  盧象
卷123  盧鴻一
卷124  徐安貞 崔翹 梁升卿 吳鞏 陸海 裴士淹 李元操 顧朝陽 陶峴
卷125-128  王維
卷129  王縉 裴迪 崔興宗 苑咸 丘為 趙驊
卷130  崔顥
卷131  祖詠
卷132-134  李頎
卷135  綦毋潛
卷136-139  儲光羲
卷140-143  王昌齡
卷144  常建
卷145  杜頠 李嶷 崔亙 蔣維翰 萬楚 范朝 楊顏 王諲 王岳靈 周萬
卷146  陶翰
卷147-151  劉長卿
卷152   顏真卿
卷153  李華
卷154  蕭穎士
卷155  崔曙
卷156  王翰
卷157  孟雲卿
卷158  張巡 張抃 賀蘭進明 閭丘曉 庾光先 韋丹 蕭昕 李希仲 楊志堅
卷159-160  孟浩然
卷161-185  李白一
卷186-195  韋應物
卷196  孟彥深 劉灣 孫昌胤 喬琳 柳渾
卷197  張謂
卷198-201  岑參
卷202  沈宇 張鼎 薛奇童 楊諫 張萬頃 沈頌 梁鍠
卷203  杜儼 趙良器 黃麟 郭向 郭良 王喬 徐九皋 閻寬 李收 程彌綸 屈同仙 豆盧復 荊冬倩 梁洽 鄭紹 朱斌 梁德裕 常非月 張良璞 孫欣 王羨門 芮挺章 樓穎 李康成
卷204  楊賁 李清 陳季 王邕 莊若訥 魏璀 王𩔪 魯收朱逵 許瑤 竇冀
卷205  包佶
卷206-207  李嘉祐
卷208  包何
卷209  賈邕 劉舟 長孫鑄 房白 元晟 劉太沖 姚發 鄭愕 殷少野 鄔載
卷210  皇甫曾
卷211-214  高適
卷215  李峴 李棲筠 徐浩 薛令之 鄒紹先 李穆 馮著 王迥 李曄 敬括
卷216-234  杜甫
卷235  賈至
卷236-239  錢起
卷240-241  元結
卷242  張繼
卷243-245  韓翃
卷246-247  獨孤及
卷248  郎士元
卷249-250  皇甫冉
卷251  劉方平
卷252  劉太真 袁傪 崔何 王緯 郭澹 高傪 李岑 蘇寓 袁邕 李紓 于邵
卷253  王之渙 閻防 薛據 姚系 令狐峘 滕珦
卷254  常袞 褚朝陽
卷255  蘇源明 鄭虔 畢耀 韋濟 田澄 沈東美 蘇渙
卷256  劉眘虛
卷257  息夫牧 宋華 鄒象先 韋建 殷寅 柳中庸
卷258  崔惠童 崔敏童 苗晉卿 賈耽 趙居貞 蕭華 李岑 元友讓 蔣冽 蔣渙 段懷然 張偁 陳孫 李峰
卷259  沈千運 王季友 于逖 張彪 趙徵明 元季川
卷260  秦系
卷261  任華 魏萬 崔宗之 崔成甫 嚴武 韋迢 郭受
卷262  韓滉 竇蒙 張濯 王綽 鄭錫 古之奇 李陽冰
卷263  嚴維
卷264-267  顧況
卷268-269  耿湋
卷270  戎昱
卷271  竇叔向 竇常 竇牟 竇群 竇庠 竇鞏
卷272  韋元甫 王鋌 潘炎 張叔良 呂牧 韋夏卿 綦毋誠 姚倫 于結 鄭孺華 張叔卿 房孺復 楊郇伯 陳潤 杜誦 鄭丹 鄭昈 朱長文
卷273-274  戴叔倫
卷275  張建封 于良史 崔膺 馮宿 陸長源 張眾甫 王武陵 朱宿
卷276-280  盧綸
卷281   崔琮 李竦 張惟儉 章八元 張莒 史延 韓濬 鄭轅 王濯 獨孤綬 仲子陵 張佐 丁澤 閻濟美 張少博 周徹 高拯 王表 獨孤授 王儲 周渭
卷282-283  李益
卷284-286  李端
卷287  暢當 暢諸
卷288  陸贄 張濛 常沂 周存 黎逢 張昔 丁位 元友直 楊系 崔績 張季略 裴達 裴逵 沈回
卷289  楊憑
卷290  楊凝
卷291  楊淩
卷292293  司空曙
卷294  崔峒
卷295  苗發 吉中孚 夏侯審 王烈 衛象 崔季卿 何兆 奚賈
卷296  張南史
卷297-302  王建
卷303-304  劉商
卷305  陳翊 劉復 冷朝陽 于尹躬 柳郴 李子卿
卷306  朱灣
卷307  丘丹 賈弇 沈仲昌 謝良輔 鮑防 杜奕 鄭概 陳元初 呂渭 范燈 樊珣 劉蕃
卷308  張志和 張松齡 陸羽
卷309  郭鄖 韋同則 李夷簡 李約
卷310  于鵠
卷311  劉長川 鄭常 陳存 王觀 崔瓘 鄭審 朱彬 李彥遠 范元凱
卷312  劉迥 李幼卿 李深 羊滔 薛戎 謝勮
卷213  崔元翰 獨孤良器 高崇文 羅珦 皇甫澈 張登 韋執中 邵真 何頻瑜 駱浚 羅讓
卷314  陳京 韋渠牟 竇參 盧羣 韋皋 李願 王智興 袁高 崔子向 張署 歸登
卷315  朱放
卷316-317  武元衡
卷318  李吉甫 鄭絪 鄭餘慶 趙宗儒 柳公綽 張正一 徐放 崔備 蕭祜 王良士 獨孤實 盧士政 于敖 皇甫鏞
