序號	Unicode	CJK+Code	Hanzi	缺字	字次	覆蓋率‱	累加覆蓋率%	部首編號	部首	部首外筆畫數
1	0-4E4B		之		19891628	252.20998	2.5221	0104	丿	2
2	0-4E0D		不		9733996	123.41931	3.75629	0101	一	3
3	0-4EE5		以		9480560	120.20594	4.95835	0203	人	2
4	0-4E5F		也		7881524	99.93144	5.95767	0105	乙	2
5	0-800C		而		7697614	97.59961	6.93366	0609	而	0
6	0-5176		其		6896797	87.44589	7.80812	0206	八	6
7	0-4EBA		人		6750929	85.5964	8.66409	0203	人	0
8	0-70BA		為		6615021	83.87319	9.50282	0426	火	5
9	0-6709		有		6209740	78.73455	10.29016	0414	月	2
10	0-8005		者		5587903	70.85015	10.99866	0608	老	4
11	0-4E00		一		5279990	66.94606	11.66813	0101	一	0
12	0-66F0		曰		5235232	66.37857	12.33191	0413	曰	0
13	0-5B50		子		4579575	58.06536	12.91256	0310	子	0
14	0-65BC		於		4305732	54.59325	13.4585	0410	方	4
15	0-5341		十		4185422	53.06781	13.98918	0218	十	0
16	0-5927		大		3590583	45.52573	14.44443	0308	大	0
17	0-6240		所		3516804	44.59027	14.89034	0403	戶	4
18	0-4E8C		二		3437197	43.58092	15.32614	0201	二	1
19	0-4E09		三		3338241	42.32623	15.74941	0101	一	2
20	0-4E2D		中		3184692	40.37935	16.1532	0102	丨	3
21	0-7121		無		3175745	40.26591	16.55586	0426	火	8
22	0-4E28		丨		3166824	40.1528	16.95739	0102	丨	0
23	0-5E74		年		3163339	40.10862	17.35847	0322	干	5
24	0-5247		則		3053478	38.71567	17.74563	0212	刀	7
25	0-4E0B		下		2960595	37.53798	18.12101	0101	一	2
26	0-5929		天		2919091	37.01175	18.49113	0308	大	1
27	0-4E0A		上		2887089	36.60599	18.85719	0101	一	2
28	0-6B64		此		2834051	35.93351	19.21652	0417	止	2
29	0-738B		王		2754461	34.92437	19.56577	0502	玉	0
30	0-66F8		書		2619030	33.20721	19.89784	0413	曰	6
31	0-662F		是		2602664	32.9997	20.22784	0412	日	5
32	0-516C		公		2576421	32.66696	20.5545	0206	八	2
33	0-4E8B		事		2519440	31.94449	20.87395	0106	亅	7
34	0-81EA		自		2480552	31.45142	21.18846	0615	自	0
35	0-5728		在		2428095	30.78631	21.49633	0303	土	3
36	0-53EF		可		2422115	30.71049	21.80343	0301	口	2
37	0-8A00		言		2368329	30.02852	22.10372	0703	言	0
38	0-81F3		至		2344512	29.72654	22.40098	0616	至	0
39	0-4E94		五		2342263	29.69803	22.69796	0201	二	3
40	0-5982		如		2338972	29.6563	22.99453	0309	女	3
41	0-65E5		日		2325150	29.48105	23.28934	0412	日	0
42	0-5C71		山		2299699	29.15835	23.58092	0317	山	0
43	0-56DB		四		2293069	29.07429	23.87166	0302	囗	2
44	0-6545		故		2268200	28.75897	24.15925	0406	攴	5
45	0-6587		文		2232019	28.30022	24.44225	0407	文	0
46	0-8207		與		2204117	27.94645	24.72172	0617	臼	11
47	0-53C8		又		2194105	27.8195	24.99991	0223	又	0
48	0-5F97		得		2190762	27.77712	25.27769	0331	彳	8
49	0-6642		時		2172369	27.54391	25.55312	0412	日	6
50	0-884C		行		2106107	26.70376	25.82016	0627	行	3
51	0-5DDE		州		2027504	25.70713	26.07723	0318	巛	5
52	0-77E5		知		2018460	25.59246	26.33316	0517	矢	3
53	0-6708		月		1995017	25.29522	26.58611	0414	月	0
54	0-5F8C		後		1966734	24.93662	26.83548	0331	彳	6
55	0-5357		南		1932956	24.50834	27.08056	0218	十	7
56	0-751F		生		1893680	24.01035	27.32066	0506	生	0
57	0-898B		見		1832363	23.2329	27.55299	0701	見	0
58	0-9053		道		1789762	22.69275	27.77992	0716	辵	9
59	0-4EA6		亦		1748031	22.16364	28.00156	0202	亠	4
60	0-8B02		謂		1747969	22.16285	28.22318	0703	言	9
61	0-6771		東		1690479	21.43393	28.43752	0415	木	4
62	0-541B		君		1689333	21.4194	28.65172	0301	口	4
63	0-660E		明		1688211	21.40517	28.86577	0412	日	4
64	0-76F8		相		1684876	21.36288	29.0794	0515	目	4
